title, genres, year, rating
Star Wars: Episode III - Revenge of the Sith,Action|Adventure|Sci-Fi,2005,2.5
Volver,Comedy|Drama,2006,4
Babel,Drama|Thriller,2006,3
Black Snake Moan,Drama,2006,3
Contagion,Sci-Fi|Thriller|IMAX,2011,4
Fate (Yazgi),Drama,2001,4
We Need to Talk About Kevin,Drama|Thriller,2011,4
Lawless,Crime|Drama,2012,3
Blackfish,Documentary,2013,4
Escape Plan,Action|Mystery|Thriller,2013,3
13 Hours,Drama,2016,3
Jason Bourne,Action,2016,2
Possession,Drama|Romance,2002,3
Life of David Gale,Crime|Drama|Thriller,2003,3
Cypher,Action|Sci-Fi|Thriller,2002,4
Chloe,Drama|Thriller,2009,3
Lucky Number Slevin,Crime|Drama|Mystery,2006,2
Hitchhiker's Guide to the Galaxy,Adventure|Comedy|Sci-Fi,2005,2
Identity,Crime|Horror|Mystery|Thriller,2003,3
Batman Begins,Action|Crime|IMAX,2005,3.5
Only God Forgives,Drama|Thriller,2013,3
Heat,Action|Comedy|Crime,2013,3
Napoleon Dynamite,Comedy,2004,3.5
Fahrenheit 9/11,Documentary,2004,1.5
Insomnia,Action|Crime|Drama|Mystery|Thriller,2002,4
AVP: Alien vs. Predator,Action|Horror|Sci-Fi|Thriller,2004,1.5
Cube Zero,Horror|Mystery|Sci-Fi|Thriller,2004,2.5
Hobbit: An Unexpected Journey,Adventure|Fantasy|IMAX,2012,2
Enron: The Smartest Guys in the Room,Documentary,2005,4
Lords of Dogtown,Action|Comedy|Drama,2005,2.5
Devil's Rejects,Action|Crime|Horror,2005,3
Aeon Flux,Action|Sci-Fi,2005,2
Corpse Bride,Animation|Comedy|Fantasy|Musical|Romance,2005,3
Da Vinci Code,Drama|Mystery|Thriller,2006,3.5
Dumplings (Gaau ji),Drama|Horror|Thriller,2004,3.5
Proposition,Crime|Drama|Western,2005,2
Memoirs of a Geisha,Drama|Romance,2005,3
Heaven,Drama,2002,3
District 13 (Banlieue 13),Action|Crime|Sci-Fi,2004,2.5
White Oleander,Drama,2002,4
Russian Ark (Russkiy Kovcheg),Drama|Fantasy|War,2002,3
A.I. Artificial Intelligence,Adventure|Drama|Sci-Fi,2001,3.5
Illusionist,Drama|Fantasy|Mystery|Romance,2006,3
Others,Drama|Horror|Mystery|Thriller,2001,3
Saw,Horror|Mystery|Thriller,2004,2.5
Charlie and the Chocolate Factory,Adventure|Children|Comedy|Fantasy|IMAX,2005,2
Once,Drama|Musical|Romance,2006,3.5
Shaun of the Dead,Comedy|Horror,2004,1
Up in the Air,Drama|Romance,2009,2.5
Love,Drama|Sci-Fi,2011,1
V for Vendetta,Action|Sci-Fi|Thriller|IMAX,2006,3.5
Children of Men,Action|Adventure|Drama|Sci-Fi|Thriller,2006,4
Last King of Scotland,Drama|Thriller,2006,4
Dreamers,Drama,2003,3
Unthinkable,Drama|Thriller,2010,2
God Bless America,Comedy|Drama,2011,4
Sweeney,Action|Crime,2012,2
Bronson,Action|Comedy|Drama|Thriller,2009,3
Batman Begins,Action|Crime|IMAX,2005,3.5
Trance,Crime|Thriller,2013,3
Fountain,Drama|Fantasy|Romance,2006,3.5
X2: X-Men United,Action|Adventure|Sci-Fi|Thriller,2003,4
Lost in Translation,Comedy|Drama|Romance,2003,4.5
Tropic Thunder,Action|Adventure|Comedy|War,2008,2
Intolerable Cruelty,Comedy|Romance,2003,3
Girl with a Pearl Earring,Drama|Romance,2003,3
Drive,Crime|Drama|Film-Noir|Thriller,2011,4
Bourne Supremacy,Action|Crime|Thriller,2004,3
(500) Days of Summer,Comedy|Drama|Romance,2009,2.5
Avatar,Action|Adventure|Sci-Fi|IMAX,2009,3.5
House of Flying Daggers (Shi mian mai fu),Action|Drama|Romance,2004,2.5
Mulholland Drive,Crime|Drama|Film-Noir|Mystery|Thriller,2001,4
Tale of Tales,Fantasy,2015,3
History of Violence,Action|Crime|Drama|Thriller,2005,3
Deepwater Horizon,Drama,2016,3
Kosmos,Drama,2010,4
V for Vendetta,Action|Sci-Fi|Thriller|IMAX,2006,5
Ghost in the Shell,Action|Drama|Sci-Fi,2017,4
Amelie (Fabuleux destin d'Amélie Poulain,Comedy|Romance,2001,4.5
Secret Window,Mystery|Thriller,2004,2
9,Adventure|Animation|Sci-Fi,2009,2
Men Who Stare at Goats,Action|Comedy|Drama,2009,1
Jennifer's Body,Comedy|Horror|Sci-Fi|Thriller,2009,2
Food,Documentary,2008,3
Paranormal Activity,Horror|Thriller,2009,2
Lovely Bones,Crime|Drama|Fantasy|Horror|Thriller,2009,1.5
Fish Tank,Drama,2009,4
Iron Man 2,Action|Adventure|Sci-Fi|Thriller|IMAX,2010,3
Nightmare on Elm Street,Fantasy|Horror|Thriller,2010,2
Work of Director Michel Gondry,Comedy|Documentary,2003,2.5
Wild Hunt,Drama|Thriller,2009,4
Enter the Void,Drama,2009,3
Let Me In,Drama|Horror|Mystery,2010,4
Monsters,Drama|Sci-Fi,2010,2.5
Paranormal Activity 2,Horror|IMAX,2010,1
Rare Exports: A Christmas Tale (Rare Exports),Action|Comedy,2010,1
Poetry (Shi),Drama,2010,4
Amelie (Fabuleux destin d'Amélie Poulain,Comedy|Romance,2001,3.5
Pianist,Drama|War,2002,3
The Machinist,Drama|Mystery|Thriller,2004,3.5
Great Beauty,Comedy|Drama,2013,5
Alan Partridge: Alpha Papa,Comedy,2013,4
Primer,Drama|Sci-Fi,2004,4.5
All or Nothing,Drama,2002,4
Ultraviolet,Action|Fantasy|Sci-Fi|Thriller,2006,0.5
Elle,Thriller,2016,4
Roger Dodger,Comedy|Drama,2002,3
National Treasure,Action|Adventure|Drama|Mystery|Thriller,2004,2
Moonlight,Drama,2016,4
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Comedy,2006,4
TT3D: Closer to the Edge,Documentary,2011,4
Hotel Rwanda,Drama|War,2004,3
Something in the Air (Après Mai),Action|Drama,2012,4
Zodiac,Crime|Drama|Thriller,2007,3
Pan's Labyrinth (Laberinto del fauno,Drama|Fantasy|Thriller,2006,4
Taken,Action|Crime|Drama|Thriller,2008,3
Departed,Crime|Drama|Thriller,2006,3.5
Girl with the Dragon Tattoo,Crime|Drama|Mystery|Thriller,2009,4
District 9,Mystery|Sci-Fi|Thriller,2009,3
Fantastic Mr. Fox,Adventure|Animation|Children|Comedy|Crime,2009,4
Shutter Island,Drama|Mystery|Thriller,2010,4
Evangelion: 2.0 You Can (Not) Advance (Evangerion shin gekijôban: Ha),Action|Animation|Drama|Sci-Fi,2009,4.5
Zack and Miri Make a Porno,Comedy|Drama|Romance,2008,2.5
Pianist,Drama|War,2002,2
Baby Driver,Action|Crime|Thriller,2017,3
Garden State,Comedy|Drama|Romance,2004,3
Star Wars: The Last Jedi,Action|Adventure|Fantasy|Sci-Fi,2017,3
Envy (Kiskanmak),Drama,2009,3
Matrix Reloaded,Action|Adventure|Sci-Fi|Thriller|IMAX,2003,2.5
Adaptation,Comedy|Drama|Romance,2002,3.5
Bruce Almighty,Comedy|Drama|Fantasy|Romance,2003,2.5
Collateral,Action|Crime|Drama|Thriller,2004,4
Good bye,Comedy|Drama,2003,4
Ladykillers,Comedy|Crime,2004,3
Nightcrawler,Crime|Drama|Thriller,2014,4
The Witch,Horror,2015,3
Shaun of the Dead,Comedy|Horror,2004,4
Finding Nemo,Adventure|Animation|Children|Comedy,2003,5
28 Days Later,Action|Horror|Sci-Fi,2002,3.5
Waiting Room (Bekleme odasi),Drama,2004,3.5
Life Aquatic with Steve Zissou,Adventure|Comedy|Fantasy,2004,4
Mexican,Action|Comedy,2001,3
Howl's Moving Castle (Hauru no ugoku shiro),Adventure|Animation|Fantasy|Romance,2004,3.5
Saw,Horror|Mystery|Thriller,2004,2
The Machinist,Drama|Mystery|Thriller,2004,2.5
Brokeback Mountain,Drama|Romance,2005,4
Saw III,Crime|Horror|Thriller,2006,0.5
Waltz with Bashir (Vals im Bashir),Animation|Documentary|Drama|War,2008,4
Gran Torino,Crime|Drama,2008,3.5
Spirited Away (Sen to Chihiro no kamikakushi),Adventure|Animation|Fantasy,2001,1.5
Fury,Action|Drama|War,2014,3.5
Infidel,Comedy,2010,3.5
Kick-Ass,Action|Comedy,2010,4
Prestige,Drama|Mystery|Sci-Fi|Thriller,2006,4
Melancholia,Drama|Sci-Fi,2011,3.5
Jacket,Drama|Mystery|Sci-Fi|Thriller,2005,3.5
Blue Valentine,Drama|Romance,2010,5
Atlas Shrugged: Part 1,Drama|Mystery|Sci-Fi,2011,3.5
Broken Embraces (Los abrazos rotos),Drama|Romance|Thriller,2009,3.5
Penelope,Comedy|Fantasy|Romance,2006,2
Killing Salazar,Action,2016,2
Mean Girls,Comedy,2004,3
Your Name.,Animation|Drama|Fantasy|Romance,2016,3
Walk the Line,Drama|Musical|Romance,2005,3
Certain Women,Drama,2016,3
Avatar,Action|Adventure|Sci-Fi|IMAX,2009,2.5
Loving,Drama,2016,3
Una,Drama,2016,4
Old Boy,Mystery|Thriller,2003,3.5
Volver,Comedy|Drama,2006,3.5
Appleseed (Appurushîdo),Action|Animation|Fantasy|Sci-Fi,2004,3.5
Sin City,Action|Crime|Film-Noir|Mystery|Thriller,2005,2
Hitchhiker's Guide to the Galaxy,Adventure|Comedy|Sci-Fi,2005,2
Son,Drama,2002,3
Manchester by the Sea,Drama,2016,3
Easy A,Comedy|Romance,2010,2
Hidden Figures,Drama,2016,4
Apocalypto,Adventure|Drama|Thriller,2006,2.5
10,Adventure|Romance|Thriller,2008,3
Cold Mountain,Drama|Romance|War,2003,3.5
Counselor,Crime|Drama|Thriller,2013,2
Brothers Grimm,Comedy|Fantasy|Horror|Thriller,2005,3.5
Super 8,Mystery|Sci-Fi|Thriller|IMAX,2011,1.5
Source Code,Action|Drama|Mystery|Sci-Fi|Thriller,2011,4
Lost in Translation,Comedy|Drama|Romance,2003,5
Notebook,Drama|Romance,2004,1.5
No Country for Old Men,Crime|Drama,2007,3.5
Star Trek,Action|Adventure|Sci-Fi|IMAX,2009,3.5
There Will Be Blood,Drama|Western,2007,3
Munich,Action|Crime|Drama|Thriller,2005,3.5
Education,Drama|Romance,2009,4
Once Upon a Time in Anatolia (Bir zamanlar Anadolu'da),Drama,2011,4
Italian Job,Action|Crime,2003,3.5
Primer,Drama|Sci-Fi,2004,4
Three Billboards Outside Ebbing,Crime|Drama,2017,3
Sleep Tight (Mientras duermes),Horror|Thriller,2011,3
Tale of Two Sisters,Drama|Horror|Mystery|Thriller,2003,2
Incredibles,Action|Adventure|Animation|Children|Comedy,2004,4
Old Boy,Mystery|Thriller,2003,5
Snows of Kilimanjaro,Drama,2011,3.5
Ghost World,Comedy|Drama,2001,4
Hurt Locker,Action|Drama|Thriller|War,2008,4
Mulholland Drive,Crime|Drama|Film-Noir|Mystery|Thriller,2001,3
A.I. Artificial Intelligence,Adventure|Drama|Sci-Fi,2001,2
Ides of March,Drama,2011,3
Others,Drama|Horror|Mystery|Thriller,2001,3
Dogtown and Z-Boyz,Documentary,2001,3
About a Boy,Comedy|Drama|Romance,2002,3
Bowling for Columbine,Documentary,2002,4
Sherlock Holmes,Mystery|Sci-Fi,2010,1.5
Distant (Uzak),Drama,2002,4
In Fear,Thriller,2013,2
Manifesto,Drama,2015,4
Lost in La Mancha,Documentary,2002,3
Frantz,Drama,2016,4
Mr. & Mrs. Smith,Action|Adventure|Comedy|Romance,2005,3.5
All This Panic,Documentary,2016,4
Gerry,Adventure|Drama,2002,3
Calvary,Comedy|Drama,2014,3
Navigators,Comedy|Drama,2001,3
Return,Drama,2003,3.5
Two Faces of January,Thriller,2014,3
Good Thief,Crime|Drama,2002,2
Hidden (a.k.a. Cache) (Caché),Drama|Mystery|Thriller,2005,4
Martha Marcy May Marlene,Drama|Thriller,2011,3.5
Ghost Writer,Drama|Mystery|Thriller,2010,3.5
Separation,Drama,2011,3.5
Double,Comedy|Drama|Thriller,2013,3
Winter Sleep (Kis Uykusu),Drama,2014,3
Charlie and the Chocolate Factory,Adventure|Children|Comedy|Fantasy|IMAX,2005,4
Great Gatsby,Drama,2013,3
Hobbit: The Desolation of Smaug,Adventure|Fantasy|IMAX,2013,3
Hero (Ying xiong),Action|Adventure|Drama,2002,3.5
The Hunger Games,Action|Adventure|Drama|Sci-Fi|Thriller,2012,4
From Hell,Crime|Horror|Mystery|Thriller,2001,3
Bourne Legacy,Action|Adventure|Drama|Thriller|IMAX,2012,3
Adaptation,Comedy|Drama|Romance,2002,3
Pirates of the Caribbean: The Curse of the Black Pearl,Action|Adventure|Comedy|Fantasy,2003,4
Mission: Impossible - Ghost Protocol,Action|Adventure|Thriller|IMAX,2011,3
Skyfall,Action|Adventure|Thriller|IMAX,2012,3
Matchstick Men,Comedy|Crime|Drama,2003,4
Mood Indigo (L'écume des jours),Drama|Fantasy,2013,3
Corporation,Documentary,2003,3
Pieta,Drama,2013,2.5
Before Sunset,Drama|Romance,2004,4
Closer,Drama|Romance,2004,4
Kill Bill: Vol. 1,Action|Crime|Thriller,2003,4.5
Night Watch (Nochnoy dozor),Action|Fantasy|Horror|Mystery|Sci-Fi|Thriller,2004,2
Looper,Action|Crime|Sci-Fi,2012,4
I Heart Huckabees,Comedy,2004,4.5
Babadook,Drama|Horror|Thriller,2014,3
Dancer Upstairs,Crime|Drama|Thriller,2002,3
Skin I Live In,Drama,2011,4
Shape of Things,Drama,2003,3
Sunshine,Adventure|Drama|Sci-Fi|Thriller,2007,3
And Your Mother Too (Y tu mamá también),Drama|Romance,2001,4.5
Batman Begins,Action|Crime|IMAX,2005,3.5
Wedding Crashers,Comedy|Romance,2005,3.5
Alien: Covenant,Action|Horror|Sci-Fi|Thriller,2017,3
Lord of War,Action|Crime|Drama|Thriller|War,2005,4
Free Fire,Action|Crime|Drama,2017,3
Jarhead,Action|Drama|War,2005,3
The Stopover,Drama,2016,4
300,Action|Fantasy|War|IMAX,2007,3
You Were Never Really Here,Drama,2017,3
In-Laws,Comedy,2003,2
Three Marias,Drama,2002,4
Fulltime Killer (Chuen jik sat sau),Action|Thriller,2001,3
Buffalo Soldiers,Comedy|Crime|Drama|War,2001,4
Brokeback Mountain,Drama|Romance,2005,3
Magdalene Sisters,Drama,2002,3
Once Upon a Time in the Midlands,Drama,2002,2
To Be and to Have (Être et avoir),Documentary,2002,4
Sylvia,Drama|Romance,2003,4
Eye,Thriller,2002,3
Girl with the Dragon Tattoo,Drama|Thriller,2011,2.5
I Am Legend,Action|Horror|Sci-Fi|Thriller|IMAX,2007,3
Bonaerense,Action|Drama,2002,3
Life Aquatic with Steve Zissou,Adventure|Comedy|Fantasy,2004,4.5
Zero Dark Thirty,Action|Drama|Thriller,2012,4
Animatrix,Action|Animation|Drama|Sci-Fi,2003,3
Kung Fu Hustle (Gong fu),Action|Comedy,2004,3
Sin City,Action|Crime|Film-Noir|Mystery|Thriller,2005,5
Million Dollar Baby,Drama,2004,3
The Atticus Institute,Horror,2015,2.5
Matrix Revolutions,Action|Adventure|Sci-Fi|Thriller|IMAX,2003,2.5
Me and You and Everyone We Know,Comedy|Drama,2005,4
Master and Commander: The Far Side of the World,Adventure|Drama|War,2003,4.5
Last Samurai,Action|Adventure|Drama|War,2003,3.5
Big Fish,Drama|Fantasy|Romance,2003,3.5
Lord of the Rings: The Return of the King,Action|Adventure|Drama|Fantasy,2003,5
Eternal Sunshine of the Spotless Mind,Drama|Romance|Sci-Fi,2004,5
Hellboy,Action|Adventure|Fantasy|Horror,2004,4
Kill Bill: Vol. 2,Action|Drama|Thriller,2004,4.5
Shrek 2,Adventure|Animation|Children|Comedy|Musical|Romance,2004,3.5
Napoleon Dynamite,Comedy,2004,4
Super Size Me,Comedy|Documentary|Drama,2004,4
Fahrenheit 9/11,Documentary,2004,4.5
Spider-Man 2,Action|Adventure|Sci-Fi|IMAX,2004,4.5
Bourne Supremacy,Action|Crime|Thriller,2004,4
Scanner Darkly,Animation|Drama|Mystery|Sci-Fi|Thriller,2006,3
Shaun of the Dead,Comedy|Horror,2004,4.5
Corpse Bride,Animation|Comedy|Fantasy|Musical|Romance,2005,3
Incredibles,Action|Adventure|Animation|Children|Comedy,2004,4.5
Paprika (Papurika),Animation|Mystery|Sci-Fi,2006,3.5
Broken Flowers,Comedy|Drama,2005,4
In America,Drama|Romance,2002,3
Force Majeure,Comedy|Drama,2014,4
Transformers,Action|Sci-Fi|Thriller|IMAX,2007,1
Knocked Up,Comedy|Drama|Romance,2007,2
Beyond the Black Rainbow,Mystery|Sci-Fi,2010,4.5
Monster,Crime|Drama,2003,3
Counterfeiters,Crime|Drama|War,2007,3
Orphanage,Drama|Horror|Mystery|Thriller,2007,2
Sin City,Action|Crime|Film-Noir|Mystery|Thriller,2005,4
Antichrist,Drama|Fantasy,2009,4
My Only Sunshine,Drama,2009,5
Inside,(no genres listed),2012,3.5
Majority,Drama,2010,3.5
Vavien,(no genres listed),2009,3.5
Hitchhiker's Guide to the Galaxy,Adventure|Comedy|Sci-Fi,2005,3
March of the Penguins (Marche de l'empereur,Documentary,2005,3
Hustle & Flow,Crime|Drama,2005,4
Osama,Drama,2003,3
Thirteen,Drama,2003,4
Waltz with Bashir (Vals im Bashir),Animation|Documentary|Drama|War,2008,5
Quantum of Solace,Action|Adventure|Thriller,2008,3
Wrestler,Drama,2008,4
Adventureland,Comedy|Drama,2009,4
Mother!,Drama|Horror|Mystery|Thriller,2017,4
Moon,Drama|Mystery|Sci-Fi|Thriller,2009,4
A.I. Artificial Intelligence,Adventure|Drama|Sci-Fi,2001,3
Bowling for Columbine,Documentary,2002,2
Juno,Comedy|Drama|Romance,2007,2
Solaris,Drama|Romance|Sci-Fi,2002,2
Holy Motors,Drama|Fantasy|Musical|Mystery|Sci-Fi,2012,4
Jug Face,Horror,2013,4
Percy Jackson: Sea of Monsters,Adventure|Children|Fantasy,2013,1
Riddick,Action|Sci-Fi|Thriller|IMAX,2013,2.5
Metallica: Through the Never,Action|Musical|IMAX,2013,4
Nymphomaniac: Volume I,Drama,2013,4.5
Nymphomaniac: Volume II,Drama|Mystery,2013,4.5
Star Trek,Action|Adventure|Sci-Fi|IMAX,2009,3
One Hour Photo,Drama|Thriller,2002,3.5
Hangover,Comedy|Crime,2009,2
Garden State,Comedy|Drama|Romance,2004,3
Broken Wings (Knafayim Shvurot),Drama,2002,4
The Villainess,Action|Drama,2017,3
Hitchhiker's Guide to the Galaxy,Adventure|Comedy|Sci-Fi,2005,3.5
Match Point,Crime|Drama|Romance,2005,3
Star Wars: Episode III - Revenge of the Sith,Action|Adventure|Sci-Fi,2005,3.5
Lady Vengeance (Sympathy for Lady Vengeance) (Chinjeolhan geumjassi),Crime|Drama|Mystery|Thriller,2005,4
Batman Begins,Action|Crime|IMAX,2005,4
Half Nelson,Drama,2006,3
Wedding Crashers,Comedy|Romance,2005,3.5
Host,Comedy|Drama|Horror|Sci-Fi|Thriller,2006,3
History of Violence,Action|Crime|Drama|Thriller,2005,5
I'm a Cyborg,Comedy|Drama|Romance|Sci-Fi,2006,1
Kiss Kiss Bang Bang,Comedy|Crime|Mystery|Thriller,2005,4
Darjeeling Limited,Adventure|Comedy|Drama,2007,3
V for Vendetta,Action|Sci-Fi|Thriller|IMAX,2006,4
Star Wars: Episode III - Revenge of the Sith,Action|Adventure|Sci-Fi,2005,3
Vicky Cristina Barcelona,Comedy|Drama|Romance,2008,4
The Florida Project,Drama,2017,3
The Machinist,Drama|Mystery|Thriller,2004,2
Hurt Locker,Action|Drama|Thriller|War,2008,4
Public Enemies,Crime|Drama|Thriller,2009,4
Downfall (Untergang,Drama|War,2004,4.5
The Killing of a Sacred Deer,Drama|Horror|Mystery|Thriller,2017,3
Thank You for Smoking,Comedy|Drama,2006,2.5
Synecdoche,Comedy|Drama,2008,1
Wilbur Wants to Kill Himself,Comedy|Drama|Romance,2002,3
Batman Begins,Action|Crime|IMAX,2005,4
Pan's Labyrinth (Laberinto del fauno,Drama|Fantasy|Thriller,2006,4.5
Prestige,Drama|Mystery|Sci-Fi|Thriller,2006,4.5
Blood Diamond,Action|Adventure|Crime|Drama|Thriller|War,2006,3
Letters from Iwo Jima,Drama|War,2006,4.5
Hot Fuzz,Action|Comedy|Crime|Mystery,2007,3
Into the Wild,Action|Adventure|Drama,2007,1.5
No Country for Old Men,Crime|Drama,2007,4
Children of Men,Action|Adventure|Drama|Sci-Fi|Thriller,2006,5
Bourne Ultimatum,Action|Crime|Thriller,2007,4
American Gangster,Crime|Drama|Thriller,2007,4
Noi the Albino (Nói albinói),Drama,2003,3
Lucky,Drama,2017,3
Montparnasse Bienvenüe,(no genres listed),2017,4
Up in the Air,Drama|Romance,2009,3
Whatever Works,Comedy|Romance,2009,4
True Grit,Western,2010,4
I'm Not Scared (Io non ho paura),Drama|Mystery|Thriller,2003,4
Juno,Comedy|Drama|Romance,2007,4.5
Land of the Dead,Action|Horror|Thriller,2005,3
Since Otar Left (Depuis qu'Otar est parti...),Drama,2003,4
The Artist,Comedy|Drama|Romance,2011,3
The Death of Stalin,Comedy,2017,4
Tyrannosaur,Drama,2011,4
Valentin (Valentín),Drama,2002,3
Lord of War,Action|Crime|Drama|Thriller|War,2005,3
History of Violence,Action|Crime|Drama|Thriller,2005,4
Kiss Kiss Bang Bang,Comedy|Crime|Mystery|Thriller,2005,3
Jarhead,Action|Drama|War,2005,3
Amelie (Fabuleux destin d'Amélie Poulain,Comedy|Romance,2001,4.5
Wit,Drama,2001,4
Loving Vincent,Animation|Crime|Drama,2017,4
Inheritance,Drama,2003,3
Pianist,Drama|War,2002,5
Act of Killing,Documentary,2012,5
V for Vendetta,Action|Sci-Fi|Thriller|IMAX,2006,5
Dear Frankie,Drama|Romance,2004,3
Inside Man,Crime|Drama|Thriller,2006,3
Disco Pigs,Drama,2001,2
To End All Wars,Action|Drama|War,2001,2
Blue Planet II,Documentary,2017,5
Children of Men,Action|Adventure|Drama|Sci-Fi|Thriller,2006,4
Vera Drake,Drama,2004,3
Garden State,Comedy|Drama|Romance,2004,4
Stella Street,Comedy,2004,2
The Shape of Water,Adventure|Drama|Fantasy,2017,3
Undertow,Crime|Drama|Thriller,2004,3
The Disaster Artist,Comedy|Drama,2017,4
Before Midnight,Drama|Romance,2013,4
Shooter,Action|Drama|Thriller,2007,3
Bourne Ultimatum,Action|Crime|Thriller,2007,4
Enduring Love,Drama,2004,4
Our Music (Notre musique),Drama,2004,3
Late Night Shopping,Comedy,2001,3
Motorcycle Diaries,Adventure|Drama,2004,4
Juno,Comedy|Drama|Romance,2007,4
Blue Jasmine,Drama,2013,3
Amelie (Fabuleux destin d'Amélie Poulain,Comedy|Romance,2001,4
Sicilian Ghost Story,Drama|Mystery,2017,4
Sideways,Comedy|Drama|Romance,2004,5
Phantom Thread,Drama|Romance,2017,4
Ginger Snaps: Unleashed,Horror|Thriller,2004,2
Kingdom of Us,Documentary,2017,4
Intimate Strangers (Confidences trop intimes),Drama,2004,4
One Hour Photo,Drama|Thriller,2002,3
Downfall (Untergang,Drama|War,2004,4.5
Boyhood,Drama,2014,4
Millions,Children|Comedy|Crime|Drama|Fantasy,2004,2
Citizenfour,Documentary,2014,5
In Time,Crime|Sci-Fi|Thriller,2011,1
Doctor Strange,Action|Adventure|Sci-Fi,2016,3
X-Men: Apocalypse,Action|Adventure|Fantasy|Sci-Fi,2016,2
Pianist,Drama|War,2002,3
Garden State,Comedy|Drama|Romance,2004,4
Journeyman,Drama,2018,4
Isle of Dogs,Animation|Comedy,2018,4
A Quiet Place,Drama|Horror|Thriller,2018,3
The Escape,Drama,2018,4
Mission: Impossible - Fallout,Action|Adventure|Thriller,2018,3
The Hateful Eight,Western,2015,3
Story of the Weeping Camel,Documentary|Drama,2003,3
Little Miss Sunshine,Adventure|Comedy|Drama,2006,4.5
Mean Creek,Drama|Thriller,2004,4
Yes Men,Documentary,2003,3
In My Father's Den,Drama,2004,3
Tae Guk Gi: The Brotherhood of War (Taegukgi hwinalrimyeo),Action|Drama|War,2004,3
Riding Giants,Documentary,2004,3
Wonder Woman,Action|Adventure|Fantasy,2017,3
3-Iron (Bin-jip),Drama|Romance,2004,3
Motorcycle Diaries,Adventure|Drama,2004,4
Sideways,Comedy|Drama|Romance,2004,4
The Machinist,Drama|Mystery|Thriller,2004,4
La La Land,Comedy|Drama|Romance,2016,3
In Good Company,Comedy|Drama,2004,3
Rogue One: A Star Wars Story,Action|Adventure|Fantasy|Sci-Fi,2016,4
Layer Cake,Crime|Drama|Thriller,2004,3
Stranger than Fiction,Comedy|Drama|Fantasy|Romance,2006,4
Get Out,Horror,2017,4
Pan's Labyrinth (Laberinto del fauno,Drama|Fantasy|Thriller,2006,5
Crank,Action|Thriller,2006,2
Departed,Crime|Drama|Thriller,2006,5
Little Children,Drama|Romance,2006,4
Prestige,Drama|Mystery|Sci-Fi|Thriller,2006,4
Casino Royale,Action|Adventure|Thriller,2006,4
Blood Diamond,Action|Adventure|Crime|Drama|Thriller|War,2006,3.5
Kissing Jessica Stein,Comedy|Romance,2001,3
Hotel Rwanda,Drama|War,2004,4
Assassination of Richard Nixon,Crime|Drama|Thriller,2004,4
Woodsman,Drama,2004,4
Once Upon a Time in Mexico,Action|Adventure|Crime|Thriller,2003,3
Downfall (Untergang,Drama|War,2004,5
Knight's Tale,Action|Comedy|Romance,2001,2
Thank You for Smoking,Comedy|Drama,2006,3
Tsotsi,Crime|Drama,2005,3
Little Miss Sunshine,Adventure|Comedy|Drama,2006,3
Pan's Labyrinth (Laberinto del fauno,Drama|Fantasy|Thriller,2006,4
Departed,Crime|Drama|Thriller,2006,4
Little Children,Drama|Romance,2006,4
Prestige,Drama|Mystery|Sci-Fi|Thriller,2006,4
Casino Royale,Action|Adventure|Thriller,2006,3
Blood Diamond,Action|Adventure|Crime|Drama|Thriller|War,2006,4
Merchant of Venice,Drama,2004,4
Kamikaze Girls (Shimotsuma monogatari),Comedy,2004,1
Letters from Iwo Jima,Drama|War,2006,3
Simone (S1m0ne),Comedy|Drama|Fantasy|Sci-Fi,2002,2
Talk to Her (Hable con Ella),Drama|Romance,2002,4
Stander,Action|Crime|Drama,2003,4
Open Range,Western,2003,2
Duplex,Comedy|Crime,2003,2
Paycheck,Action|Sci-Fi|Thriller,2003,2
Hot Fuzz,Action|Comedy|Crime|Mystery,2007,3
This Is England,Drama,2006,5
Imaginary Heroes,Comedy|Drama,2004,4
3:10 to Yuma,Action|Crime|Drama|Western,2007,4
Life and Death of Peter Sellers,Comedy|Drama,2004,3
Eastern Promises,Crime|Drama|Thriller,2007,4
Rory O'Shea Was Here (Inside I'm Dancing),Drama,2004,3
No Country for Old Men,Crime|Drama,2007,4
Control (Kontroll),Comedy|Crime|Drama|Mystery,2003,2
There Will Be Blood,Drama|Western,2007,4
5x2,Drama|Romance,2004,4
In the Bedroom,Drama,2001,4
Brothers (Brødre),Drama,2004,4
Munich,Action|Crime|Drama|Thriller,2005,4
Palindromes,Adventure|Comedy|Drama,2004,3
Somersault,Drama,2004,4
It's All Gone Pete Tong,Comedy|Drama|Musical,2004,4
My Summer of Love,Drama|Romance,2004,4
Yes,Drama,2004,4
Edukators,Comedy|Crime|Drama|Romance,2004,4
Junebug,Comedy|Drama,2005,4
The Great Raid,Action|Drama|War,2005,3
Unfinished Life,Drama,2005,2
Green Street Hooligans (a.k.a. Hooligans),Crime|Drama,2005,3
Oliver Twist,Drama,2005,4
Greatest Game Ever Played,Drama,2005,3
Factotum,Drama,2005,4
Where the Truth Lies,Drama|Thriller,2005,3
Weather Man,Comedy|Drama,2005,3
Manderlay,Drama,2005,4
Dead Man's Shoes,Crime|Thriller,2004,5
C.R.A.Z.Y.,Drama,2005,3
Paradise Now,Crime|Drama|Thriller|War,2005,4
Matador,Comedy|Drama|Thriller,2005,3
